Question,Answer
What are the indications for Gentamicin?,"INDICATIONS AND USAGE: To reduce the development of drug-resistant bacteria and maintain the effectiveness of Gentamicin Injection, USP and other antibacterial drugs, Gentamicin Injection, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Gentamicin Injection, USP is indicated in the treatment of serious infections caused by susceptible strains of the following microorganisms: Pseudomonas aeruginosa, Proteus species (indole-positive and indole-negative), Escherichia coli, Klebsiella-Enterobacter-Serratia species, Citrobacter species and Staphylococcus species (coagulase-positive and coagulase-negative). Clinical studies have shown gentamicin injection to be effective in bacterial neonatal sepsis; bacterial septicemia and serious bacterial infections of the central nervous system (meningitis), urinary tract, respiratory tract, gastrointestinal tract (including peritonitis), skin, bone and soft tissue (including burns). Aminoglycosides, including gentamicin, are not indicated in uncomplicated initial episodes of urinary tract infections unless the causative organisms are susceptible to these antibiotics and are not susceptible to antibiotics having less potential for toxicity. Specimens for bacterial culture should be obtained to isolate and identify causative organisms and to determine their susceptibility to gentamicin. Gentamicin injection may be considered as initial therapy in suspected or confirmed gram-negative infections, and therapy may be instituted before obtaining results of susceptibility testing. The decision to continue therapy with this drug should be based on the results of susceptibility tests, the severity of the infection and the important additional concepts contained in the BOXED WARNINGS . If the causative organisms are resistant to gentamicin, other appropriate therapy should be instituted. In serious infections when the causative organisms are unknown, gentamicin injection may be administered as initial therapy in conjunction with a penicillin-type or cephalosporin-type drug before obtaining results of susceptibility testing. If anaerobic organisms are suspected as etiologic agents, consideration should be given to using other suitable antimicrobial therapy in conjunction with gentamicin. Following identification of the organism and its susceptibility, appropriate antibiotic therapy should then be continued. Gentamicin injection has been used effectively in combination with carbenicillin for the treatment of life-threatening infections caused by Pseudomonas aeruginosa. It has also been found effective when used in conjunction with a penicillin-type drug for treatment of endocarditis caused by group D streptococci. Gentamicin injection has also been shown to be effective in the treatment of serious staphylococcal infections. While not the antibiotic of first choice, gentamicin injection may be considered when penicillins or other less potentially toxic drugs are contraindicated and bacterial susceptibility tests and clinical judgment indicate its use. It may also be considered in mixed infections caused by susceptible strains of staphylococci and gram-negative organisms. In the neonate with suspected bacterial sepsis or staphylococcal pneumonia, a penicillin-type drug is also usually indicated as concomitant therapy with gentamicin."
What are the common side effects of Moxifloxacin?,"OFF LABEL USE, DRUG INEFFECTIVE, DYSPNOEA, PNEUMONIA, DRUG HYPERSENSITIVITY"
What is the AWARE status of Moxifloxacin?,Watch
What are the indications for Moxifloxacin?,"1 INDICATIONS AND USAGE Moxifloxacin tablets are a fluoroquinolone antibacterial indicated for treating infections in adults 18 years of age and older caused by designated susceptible bacteria, in the conditions listed below: Community Acquired Pneumonia ( 1.1 ) Skin and Skin Structure Infections: Uncomplicated ( 1.2 ) and Complicated ( 1.3 ) Complicated Intra-Abdominal Infections ( 1.4 ) Plague ( 1.5 ) Acute Bacterial Sinusitis ( 1.6 ) Acute Bacterial Exacerbation of Chronic Bronchitis ( 1.7 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of moxifloxacin hydrochloride and other antibacterial drugs. Moxifloxacin hydrochloride should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. ( 1.8 ) 1.1 Community Acquired Pneumonia Moxifloxacin tablets are indicated in adult patients for the treatment of Community Acquired Pneumonia caused by susceptible isolates of Streptococcus pneumoniae (including multi-drug resistant Streptococcus pneumoniae [MDRSP]), Haemophilus influenzae, Moraxella catarrhalis, methicillin-susceptible Staphylococcus aureus, Klebsiella pneumoniae, Mycoplasma pneumoniae, or Chlamydophila pneumoniae [see Clinical Studies (14.3)] . MDRSP isolates are isolates resistant to two or more of the following antibacterial drugs: penicillin (minimum inhibitory concentrations [MIC]≥ 2 mcg/mL), 2 nd generation cephalosporins (for example, cefuroxime), macrolides, tetracyclines, and trimethoprim/sulfamethoxazole. 1.2 Uncomplicated Skin and Skin Structure Infections Moxifloxacin tablets are indicated in adult patients for the treatment of Uncomplicated Skin and Skin Structure Infections caused by susceptible isolates of methicillin- susceptible Staphylococcus aureus or Streptococcus pyogenes [see Clinical Studies (14.4)]. 1.3 Complicated Skin and Skin Structure Infections Moxifloxacin tablets are indicated in adult patients for the treatment of complicated Skin and Skin Structure Infections caused by susceptible isolates of methicillin- susceptible Staphylococcus aureus, Escherichia coli, Klebsiella pneumoniae, or Enterobacter cloacae [see Clinical Studies (14.5)]. 1.4 Complicated Intra-Abdominal Infections Moxifloxacin tablets are indicated in adult patients for the treatment of Complicated Intra-Abdominal Infections (cIAI) including polymicrobial infections such as abscess caused by susceptible isolates of Escherichia coli, Bacteroides fragilis, Streptococcus anginosus, Streptococcus constellatus, Enterococcus faecalis, Proteus mirabilis, Clostridium perfringens, Bacteroides thetaiotaomicron, or Peptostreptococcus species [see Clinical Studies (14.6)] . 1.5 Plague Moxifloxacin tablets are indicated in adult patients for the treatment of plague, including pneumonic and septicemic plague, due to susceptible isolates of Yersinia pestis and prophylaxis of plague in adult patients. Efficacy studies of moxifloxacin could not be conducted in humans with plague for feasibility reasons. Therefore this indication is based on an efficacy study conducted in animals only [see Clinical Studies (14.7)]. 1.6 Acute Bacterial Sinusitis Moxifloxacin tablets are indicated in adult patients (18 years of age and older) for the treatment of Acute Bacterial Sinusitis (ABS) caused by susceptible isolates of Streptococcus pneumoniae, Haemophilus influenzae, or Moraxella catarrhalis [see Clinical Studies (14.1)]. Because fluoroquinolones, including moxifloxacin tablets, have been associated with serious adverse reactions [see Warnings and Precautions (5.1 - 5.13 )] and for some patients ABS is self-limiting, reserve moxifloxacin tablets for treatment of ABS in patients who have no alternative treatment options. 1.7 Acute Bacterial Exacerbation of Chronic Bronchitis Moxifloxacin tablets are indicated in adult patients for the treatment of Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB) caused by susceptible isolates of Streptococcus pneumoniae, Haemophilus influenzae, Haemophilus parainfluenzae, Klebsiella pneumoniae, methicillin-susceptible Staphylococcus aureus, or Moraxella catarrhalis [see Clinical Studies (14.2 )] . Because fluoroquinolones, including moxifloxacin tablets, have been associated with serious adverse reactions [see Warnings and Precautions (5.1 - 5.13 )] and for some patients ABECB is self-limiting, reserve moxifloxacin tablets for treatment of ABECB in patients who have no alternative treatment options. 1.8 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of moxifloxacin hydrochloride and other antibacterial drugs, moxifloxacin hydrochloride should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Oxacillin?,"DRUG INEFFECTIVE, ACUTE KIDNEY INJURY, PYREXIA, RASH, DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS"
What is the AWARE status of Oxacillin?,Access
What are the indications for Oxacillin?,"INDICATIONS AND USAGE Oxacillin is indicated in the treatment of infections caused by penicillinase producing staphylococci which have demonstrated susceptibility to the drug. Cultures and susceptibility tests should be performed initially to determine the causative organism and its susceptibility to the drug (See CLINICAL PHARMACOLOGY - Susceptibility Test Methods ). Oxacillin may be used to initiate therapy in suspected cases of resistant staphylococcal infections prior to the availability of susceptibility test results. Oxacillin should not be used in infections caused by organisms susceptible to penicillin G. If the susceptibility tests indicate that the infection is due to an organism other than a resistant Staphylococcus , therapy should not be continued with oxacillin. To reduce the development of drug-resistant bacteria and maintain the effectiveness of Oxacillin for Injection, USP and other antibacterial drugs, Oxacillin for Injection, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Sulbactam?,"DRUG INEFFECTIVE, OFF LABEL USE, PYREXIA, PNEUMONIA, DIARRHOEA"
What is the AWARE status of Sulbactam?,Access
What are the indications for Sulbactam?,"INDICATIONS AND USAGE Ampicillin and sulbactam for injection is indicated for the treatment of infections due to susceptible strains of the designated microorganisms in the conditions listed below. Skin and Skin Structure Infections caused by beta-lactamase producing strains of Staphylococcus aureus , Escherichia coli ,* Klebsiella spp .* (including K. pneumoniae*), Proteus mirabilis ,* Bacteroides fragilis ,* Enterobacter spp. , * and Acinetobacter calcoaceticus .* NOTE: For information on use in pediatric patients (see PRECAUTIONS-Pediatric Use and CLINICAL STUDIES sections). Intra-Abdominal Infections caused by beta-lactamase producing strains of Escherichia coli , Klebsiella spp . (including K. pneumoniae *), Bacteroides spp . (including B. fragilis ), and Enterobacter spp .* Gynecological Infections caused by beta-lactamase producing strains of Escherichia coli ,* and Bacteroides spp.* (including B. fragilis *). * Efficacy for this organism in this organ system was studied in fewer than 10 infections. While ampicillin and sulbactam for injection is indicated only for the conditions listed above, infections caused by ampicillin-susceptible organisms are also amenable to treatment with ampicillin and sulbactam for injection due to its ampicillin content. Therefore, mixed infections caused by ampicillin-susceptible organisms and beta-lactamase producing organisms susceptible to ampicillin and sulbactam for injection should not require the addition of another antibacterial. Appropriate culture and susceptibility tests should be performed before treatment in order to isolate and identify the organisms causing infection and to determine their susceptibility to ampicillin and sulbactam for injection. Therapy may be instituted prior to obtaining the results from bacteriological and susceptibility studies when there is reason to believe the infection may involve any of the beta-lactamase producing organisms listed above in the indicated organ systems. Once the results are known, therapy should be adjusted if appropriate. To reduce the development of drug-resistant bacteria and maintain effectiveness of ampicillin and sulbactam for injection and other antibacterial drugs, ampicillin and sulbactam for injection should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Teicoplanin?,"PYREXIA, DRUG INEFFECTIVE, OFF LABEL USE, DIARRHOEA, NEUTROPENIA"
What is the AWARE status of Teicoplanin?,Watch
What are the common side effects of Tetracycline?,"DRUG HYPERSENSITIVITY, NAUSEA, DRUG INEFFECTIVE, RASH, PAIN"
What is the AWARE status of Tetracycline?,Access
What are the indications for Tetracycline?,"Indications First aid to help prevent the risk of skin infection in minor cuts, scrapes, or burns."
What is the AWARE status of Ceftolozane.tazobactam?,Reserve
What are the common side effects of Cefoperazone sulbactam?,"PYREXIA, PNEUMONIA, DRUG INEFFECTIVE, OFF LABEL USE, DIARRHOEA"
What are the indications for Cefoperazone sulbactam?,"INDICATIONS AND USAGE Ampicillin and sulbactam for injection is indicated for the treatment of infections due to susceptible strains of the designated microorganisms in the conditions listed below. Skin and Skin Structure Infections caused by beta-lactamase producing strains of Staphylococcus aureus , Escherichia coli ,* Klebsiella spp .* (including K. pneumoniae*), Proteus mirabilis ,* Bacteroides fragilis ,* Enterobacter spp. , * and Acinetobacter calcoaceticus .* NOTE: For information on use in pediatric patients (see PRECAUTIONS-Pediatric Use and CLINICAL STUDIES sections). Intra-Abdominal Infections caused by beta-lactamase producing strains of Escherichia coli , Klebsiella spp . (including K. pneumoniae *), Bacteroides spp . (including B. fragilis ), and Enterobacter spp .* Gynecological Infections caused by beta-lactamase producing strains of Escherichia coli ,* and Bacteroides spp.* (including B. fragilis *). * Efficacy for this organism in this organ system was studied in fewer than 10 infections. While ampicillin and sulbactam for injection is indicated only for the conditions listed above, infections caused by ampicillin-susceptible organisms are also amenable to treatment with ampicillin and sulbactam for injection due to its ampicillin content. Therefore, mixed infections caused by ampicillin-susceptible organisms and beta-lactamase producing organisms susceptible to ampicillin and sulbactam for injection should not require the addition of another antibacterial. Appropriate culture and susceptibility tests should be performed before treatment in order to isolate and identify the organisms causing infection and to determine their susceptibility to ampicillin and sulbactam for injection. Therapy may be instituted prior to obtaining the results from bacteriological and susceptibility studies when there is reason to believe the infection may involve any of the beta-lactamase producing organisms listed above in the indicated organ systems. Once the results are known, therapy should be adjusted if appropriate. To reduce the development of drug-resistant bacteria and maintain effectiveness of ampicillin and sulbactam for injection and other antibacterial drugs, ampicillin and sulbactam for injection should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Meropenem vaborbactam?,"DRUG INEFFECTIVE, OFF LABEL USE, PYREXIA, PNEUMONIA, SEPSIS"
What are the indications for Meropenem vaborbactam?,"1 INDICATIONS AND USAGE Meropenem for Injection, USP is a penem antibacterial indicated for the treatment of: Complicated skin and skin structure infections (adult patients and pediatric patients 3 months of age and older only). ( 1.1 ) Complicated intra-abdominal infections (adult and pediatric patients). ( 1.2 ) Bacterial meningitis (pediatric patients 3 months of age and older only). ( 1.3 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of Meropenem for Injection, USP and other antibacterial drugs, Meropenem for Injection, USP should only be used to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. 1.1 Complicated Skin and Skin Structure Infections (Adult Patients and Pediatric Patients 3 Months of Age and Older Only) Meropenem for Injection, USP is indicated for the treatment of complicated skin and skin structure infections (cSSSI) due to Staphylococcus aureus (methicillin-susceptible isolates only), Streptococcus pyogenes, Streptococcus agalactiae , viridans group streptococci, Enterococcus faecalis (vancomycin-susceptible isolates only), Pseudomonas aeruginosa, Escherichia coli, Proteus mirabilis, Bacteroides fragilis, and Peptostreptococcus species. 1.2 Complicated Intra-abdominal Infections (Adult and Pediatric Patients) Meropenem for Injection, USP is indicated for the treatment of complicated appendicitis and peritonitis caused by viridans group streptococci, Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Bacteroides fragilis, B. thetaiotaomicron, and Peptostreptococcus species. 1.3 Bacterial Meningitis (Pediatric Patients 3 Months of Age and Older Only) Meropenem for Injection, USP is indicated for the treatment of bacterial meningitis caused by Haemophilus influenzae, Neisseria meningitidis and penicillin-susceptible isolates of Streptococcus pneumoniae. Meropenem for Injection, USP has been found to be effective in eliminating concurrent bacteremia in association with bacterial meningitis. 1.4 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of Meropenem for Injection, USP and other antibacterial drugs, Meropenem for Injection, USP should only be used to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Cefpodoxime?,"PNEUMONIA, DIARRHOEA, PYREXIA, FATIGUE, NAUSEA"
What is the AWARE status of Cefpodoxime?,Watch
What are the indications for Cefpodoxime?,"INDICATIONS AND USAGE Cefpodoxime proxetil is indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the conditions listed below. Recommended dosages, durations of therapy, and applicable patient populations vary among these infections. Please see DOSAGE AND ADMINISTRATION for specific recommendations. Acute otitis media caused by Streptococcus pneumoniae (excluding penicillin-resistant strains), Streptococcus pyogenes, Haemophilusinfluenzae (including beta-lactamase-producing strains), or Moraxella (Branhamella) catarrhalis (including beta-lactamase-producing strains). Pharyngitis and/or tonsillitis caused by Streptococcus pyogenes . NOTE: Only penicillin by the intramuscular route of administration has been shown to be effective in the prophylaxis of rheumatic fever. Cefpodoxime proxetil is generally effective in the eradication of streptococci from the oropharynx. However, data establishing the efficacy of cefpodoxime proxetil for the prophylaxis of subsequent rheumatic fever are not available. Community-acquired pneumonia caused by S. pneumoniae or H. Influenzae (including beta-lactamase-producing strains). Acute bacterial exacerbation of chronic bronchitis caused by S. pneumoniae, H. influenzae beta-lactamase-producing strains only), or M. catarrhalis. Data are insufficient at this time to establish efficacy in patients with acute bacterial exacerbations of chronic bronchitis caused by beta-lactamase-producing strains of H. influenzae. Acute, uncomplicated urethral and cervical gonorrhea caused by Neisseria gonorrhoeae (including penicillinase-producing strains). Acute, uncomplicated ano-rectal infections in women due to Neisseria gonorrhoeae (including penicillinase-producing strains). NOTE: The efficacy of cefpodoxime in treating male patients with rectal infections caused by N. gonorrhoeae has not been established. Data do not support the use of cefpodoxime proxetil in the treatment of pharyngeal infections due to N. gonorrhoeae in men or women. Uncomplicated skin and skin structure infections caused by Staphylococcus aureus (including penicillinase-producing strains) or Streptococcus pyogenes . Abscesses should be surgically drained as clinically indicated. NOTE: In clinical trials, successful treatment of uncomplicated skin and skin structure infections was dose-related. The effective therapeutic dose for skin infections was higher than those used in other recommended indications. (See DOSAGE AND ADMINISTRATION .) Acute maxillary sinusitis caused by Haemophilusinfluenzae (including beta-lactamase-producing strains), Streptococcus pneumoniae , and Moraxella catarrhalis. Uncomplicated urinary tract infections (cystitis) caused by Escherichia coli, Klebsiellapneumoniae, Proteus mirabilis , or Staphylococcus saprophyticus . NOTE: In considering the use of cefpodoxime proxetil in the treatment of cystitis, cefpodoxime proxetil’s lower bacterial eradication rates should be weighed against the increased eradication rates and different safety profiles of some other classes of approved agents. (See CLINICAL STUDIES section.) Appropriate specimens for bacteriological examination should be obtained in order to isolate and identify causative organisms and to determine their susceptibility to cefpodoxime. Therapy may be instituted while awaiting the results of these studies. Once these results become available, antimicrobial therapy should be adjusted accordingly. To reduce the development of drug-resistant bacteria and maintain the effectiveness of cefpodoxime proxetil tablets, and other antibacterial drugs, cefpodoxime proxetil tablets should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Ceftibuten?,"URTICARIA, DRUG INEFFECTIVE, RASH, DIARRHOEA, PNEUMONIA"
What is the AWARE status of Ceftibuten?,Watch
What are the common side effects of Ceftibuten avibactam?,"OFF LABEL USE, DRUG INEFFECTIVE, DEATH, PATHOGEN RESISTANCE, DRUG RESISTANCE"
What are the indications for Ceftibuten avibactam?,"1. INDICATIONS AND USAGE EXBLIFEP is a combination of cefepime, a cephalosporin antibacterial, and enmetazobactam, a beta-lactamase inhibitor, indicated for the treatment of patients 18 years and older with complicated urinary tract infections (cUTI) including pyelonephritis caused by designated susceptible microorganisms. ( 1.1 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of EXBLIFEP and other antibacterial drugs, EXBLIFEP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. ( 1.2 ) 1.1. Complicated Urinary Tract Infections, including Pyelonephritis EXBLIFEP ® is indicated for the treatment of patients 18 years of age and older with complicated urinary tract infections (cUTI) including pyelonephritis, caused by the following susceptible microorganisms: Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Proteus mirabilis, and Enterobacter cloacae complex. 1.2. Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of EXBLIFEP and other antibacterial drugs, EXBLIFEP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Tebipenem?,"BLOOD LACTIC ACID INCREASED, CLOSTRIDIUM DIFFICILE INFECTION, COAGULOPATHY, DISSEMINATED INTRAVASCULAR COAGULATION, DRUG INTERACTION"
What is the AWARE status of Tebipenem?,Watch
